weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
158.13068,C9H18O2,9027809.99999999,9,18,2,0,0,0,0,0,0,1.0,0.2222222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,-1.5555555555555554,0.0,-1.0,0.1111111111111111
159.068414,C10H9O1N1,1053504.0,10,9,1,1,0,0,0,0,0,7.0,0.1,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,-0.40000000000000036,0.0,6.0,0.7
160.019416,C6H8O3S1,901740.0,6,8,3,0,1,0,0,0,0,3.0,0.5,1.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.5
160.07356,C7H12O4,10451392.0,7,12,4,0,0,0,0,0,0,2.0,0.5714285714285714,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,-0.5714285714285712,0.0,-2.0,0.2857142857142857
160.109945,C8H16O3,2780111.0,8,16,3,0,0,0,0,0,0,1.0,0.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,-1.25,0.0,-2.0,0.125
161.047679,C9H7O2N1,4959038.0,9,7,2,1,0,0,0,0,0,7.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,5.0,0.7777777777777778
162.031695,C9H6O3,1277383.0,9,6,3,0,0,0,0,0,0,7.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.0,0.0,4.0,0.7777777777777778
162.035066,C6H10O3S1,1127048.0,6,10,3,0,1,0,0,0,0,2.0,0.5,1.6666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,-0.33333333333333304,0.0,-1.0,0.3333333333333333
162.06808,C10H10O2,4008405.0,10,10,2,0,0,0,0,0,0,6.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,-0.5999999999999996,0.0,4.0,0.6
162.08921,C7H14O4,809950.0,7,14,4,0,0,0,0,0,0,1.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,-0.8571428571428568,0.0,-3.0,0.14285714285714285
162.104465,C11H14O1,1168484.0,11,14,1,0,0,0,0,0,0,5.0,0.09090909090909091,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,-1.0909090909090908,0.0,4.0,0.45454545454545453
163.026944,C8H5O3N1,1527773.0,8,5,3,1,0,0,0,0,0,7.0,0.375,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.5,0.0,4.0,0.875
163.063329,C9H9O2N1,5152364.0,9,9,2,1,0,0,0,0,0,6.0,0.2222222222222222,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6,-0.22222222222222232,0.0,4.0,0.6666666666666666
