reasult,count
159.208596,34.0
156.9854,1.0
278.354865,24.0
316.432052,21.0
29.349125,1.0
21.061871,4.0
464.996829,1.0
426.1526,1.0
206.22458,47.0
-127.829035,2.0
-136.05243,9.0
111.441294,1.0
-403.729126,1.0
27.263391,1.0
481.912236,1.0
230.009641,1.0
0.203055,21.0
-119.001596,1.0
422.43351,6.0
153.140516,24.0
306.292265,6.0
-35.865693,72.0
269.330246,1.0
-214.905709,1.0
38.344752,1.0
182.369904,1.0
-150.8789,1.0
258.263273,1.0
313.114818,1.0
-47.851956,1.0
306.36188,1.0
220.232368,2.0
546.312744,1.0
88.226493,1.0
350.146452,1.0
118.197302,106.0
57.141852,1.0
6.072102,64.0
-120.983365,1.0
210.331805,1.0
396.433982,1.0
-66.970296,2.0
76.144994,1.0
134.176962,20.0
-107.697036,1.0
158.18232,2.0
10.843956,1.0
459.323626,1.0
10.015377,1.0
-125.047679,3.0
653.300253,1.0
219.197363,2.0
150.292265,1.0
148.119842,6.0
124.257989,1.0
311.255941,1.0
663.931257,1.0
86.311738,4.0
-16.652333,2.0
-112.81161,1.0
142.951124,1.0
496.35526,1.0
-67.829035,2.0
-25.663033,2.0
-37.808573,15.0
-1.764977,2.0
-185.908152,1.0
30.096603,2.0
-151.103085,1.0
86.290608,2.0
556.997892,1.0
-64.088815,2.0
297.998604,1.0
383.317478,1.0
339.217842,1.0
64.135097,24.0
51.120054,6.0
135.376386,1.0
707.310818,1.0
218.279591,2.0
-34.024106,2.0
375.526681,1.0
130.480122,1.0
314.336239,2.0
152.239167,104.0
-187.001792,4.0
606.312744,1.0
-143.835183,2.0
-53.95305,5.0
170.406289,1.0
-75.873876,1.0
319.392829,1.0
-59.930601,1.0
354.280381,1.0
-59.040485,2.0
14.181453,1.0
83.160188,6.0
-1.997891,1.0
22.030632,22.0
20.390065,1.0
490.365825,2.0
238.50549,1.0
-49.877972,2.0
142.174185,1.0
-61.782952,4.0
55.305924,5.0
-53.829507,1.0
98.217369,13.0
69.077643,1.0
405.468498,4.0
-512.945189,1.0
122.213347,20.0
-52.81161,1.0
274.258188,1.0
278.274233,1.0
91.234021,94.0
48.23944,38.0
-104.819276,1.0
246.353802,37.0
82.143158,5.0
673.936737,1.0
278.201463,3.0
27.120054,13.0
27.091062,2.0
414.359677,2.0
15.289879,10.0
46.112131,1.0
-91.103085,1.0
502.40221,1.0
-74.928232,6.0
87.091062,1.0
201.004222,1.0
175.327921,37.0
-93.772782,1.0
200.165746,2.0
-30.829247,3.0
-187.985808,6.0
435.526681,1.0
20.313924,1.0
160.200474,1.0
142.243584,8.0
88.14633,22.0
-41.578183,1.0
-316.297745,2.0
150.097939,1.0
277.338486,2.0
20.147254,1.0
308.110735,1.0
-335.174141,1.0
376.36736,1.0
57.345558,1.0
-58.37968,1.0
119.298335,1.0
24.064908,6.0
111.492934,2.0
616.318224,1.0
-84.979994,4.0
555.028524,1.0
-26.902611,1.0
160.29187,52.0
-103.85639,3.0
594.349129,1.0
-48.824557,13.0
-155.798798,2.0
-169.77893,1.0
11.102673,5.0
59.109884,13.0
359.520533,1.0
17.072831,28.0
305.201129,1.0
-33.675511,1.0
539.896586,1.0
-32.843561,5.0
120.503165,1.0
151.374672,1.0
66.283019,2.0
234.274506,2.0
74.163694,1.0
223.457339,3.0
